task_id,image_id,phrase
4479__1036519,4479,grey rock
4479__1036530,4479,rocks
4479__1036522,4479,kneeling woman
4479__1036527,4479,green river
4505__1559976,4505,stuffed dog
4505__3789402,4505,shelf
4505__1559948,4505,stuffed sheep
4505__1559972,4505,spiderman sign
4505__1559973,4505,legs
4514__1560045,4514,patch near tracks
4514__1560052,4514,road
4514__1560051,4514,vehicles parked on side of road
4514__1560055,4514,brick building
4516__1560074,4516,red machine
4516__1560063,4516,gray rails
4516__1560082,4516,roof
4516__1560083,4516,white train
4516__1560084,4516,red stripe
4516__1560077,4516,man
4562__4374925_4374929,4562,corn in field
4563__1656343,4563,white floor
4563__1656349,4563,silver railing
4563__1656348,4563,silver wheel
4598__1560842,4598,stone house
4598__3587268,4598,man
4598__3587266,4598,rock on faade of house
4598__1560847,4598,porch
4604__1560954_1560954,4604,chain on post
4604__3587296_3587296_3587296,4604,green leaves
4604__1560979,4604,tree
4618__1561123,4618,gray couch
4618__3670897,4618,floor
4618__1561129,4618,wooden coffee table
4618__3670896,4618,rug on floor
4618__1561122,4618,decorative pillow
4620__3691603,4620,floor
4620__1561155,4620,rug
4620__1561152,4620,lamp
4620__1561151,4620,shade
4620__1561149,4620,curtain on window
4642__4377052,4642,chandelier
4642__4048317,4642,leafy plant
4642__4377012,4642,white trim
4642__4377026_4377018,4642,table
4642__4377034,4642,light green wall
4649__4377136,4649,lights in room
4649__4377133,4649,white chair
4649__4377137,4649,clean room
4649__4377135,4649,shelf
4680__4377877,4680,blue sky
4680__4377879_4377880,4680,arm
4707__4140009,4707,window
4707__4140008,4707,black shutters
4712__4051054,4712,sidewalk to house
4712__4051049,4712,large pine tree
4712__4378980_4378981,4712,green yard
4715__4648079,4715,white door house
4715__4051164,4715,road
4725__1072158,4725,steps to porch
4725__1072169,4725,white sky
4725__1072154,4725,porch
4725__1072164,4725,house behind house
4725__1072163,4725,electric wires
4725__1072159,4725,sidewalk leading to house
4726__4379599,4726,building
4726__4379602,4726,wall
4726__4379620,4726,person wearing jacket
4726__4379614,4726,pictured pillars
4726__4379609,4726,grass
4726__4379607,4726,ground
4734__1072208,4734,snowy path
4734__1072203,4734,shadows on snow
4734__1072221,4734,covered ground
4734__1072207,4734,blue sky
4734__1072216,4734,trees around house
4743__3794841,4743,building
4743__1562325,4743,green lawn
4743__1562327_1562314,4743,tree
4743__1562306,4743,with house
4743__1562316,4743,small entrance
4770__1562733,4770,area
4770__1562720,4770,new house
4772__1072260,4772,white roof
4772__1072257,4772,brown house
4772__3794844,4772,straw roof
4772__1072256,4772,tree behind house
4772__1072261,4772,black window
4790__1563075,4790,white saucer
4790__1563083,4790,napkin
4790__1563085,4790,round paper
4790__1563063_1563054,4790,silverware
4790__3588516,4790,writing on paper
4807__4381656,4807,brown napkin
4807__4660576,4807,tall window
4807__4381663,4807,empty glass
4807__3974614,4807,holder
4810__1563247,4810,brown napkin
4810__1563249,4810,silver fork
4810__1563248,4810,silver knife
4810__1563253,4810,stripe
4810__1563245,4810,striped tablecloth
4810__3692484,4810,table
4823__1563347_1563376_1563346,4823,glass
4823__1563362,4823,yellow candle
4823__1563374,4823,plate
4823__1563385,4823,filled water
4830__1563427,4830,glass base
4830__1563428,4830,material on table
4830__3692621,4830,edge
4830__1563426,4830,folded up napkin
4830__1563437,4830,glass has rim
4853__1563770,4853,plate sitting on table
4853__1563775,4853,napkin
4853__1563779,4853,candy in bowl
4853__1563771,4853,table
4860__4383353_4383327_4383309,4860,table
4860__4007298,4860,clear glass
4860__4383333,4860,silverware set on table
4878__1564065,4878,building
4878__3683856_3683844,4878,field
4878__1564037,4878,grass
4878__3683834,4878,palm tree
4878__3683849,4878,tree in a field
4904__1564295,4904,bed lamp
4904__1564291,4904,nightstand next to bed
4904__1564288,4904,wall
4904__1564294,4904,painting in wall
4904__1564300,4904,pillow on bed
4953__3693140,4953,sand
4953__3687122,4953,beautiful view
4953__1564958,4953,boat
4953__1564967,4953,palm trees
4957__1565055,4957,rock on ground
4957__1565024,4957,tail
4957__1565029,4957,shell-covered bottom
4957__1565034,4957,ground
4971__1072721,4971,wall behind picture
4971__1072715,4971,wooden floor
4971__1072709,4971,sunlit window
4971__1072714,4971,white tablecloth
2364318__759227,2364318,shadow on ground
2364318__759221,2364318,brown dog
2364318__759233,2364318,writing on bottle
2364318__759219,2364318,green bottle
2364318__759225,2364318,brown bottle
2364318__759231,2364318,blue label
2364356__1884478,2364356,building
2364356__1884477,2364356,curved wall
2364356__1921644,2364356,american flag on pole
2364356__1971170,2364356,blue awning
2364356__1750282,2364356,street
2364356__3739396,2364356,grey pole
2364357__2171282,2364357,windows
2364357__2253965,2364357,counter
2364357__3739388,2364357,wall
2364357__2394656,2364357,double sink
2364357__3739381,2364357,microwave in kitchen
2364357__2425256,2364357,brown wooden cupboard
2364364__2423029,2364364,steel frame
2364364__2337360,2364364,bus on left
2364364__2088372,2364364,beams
2364364__1842725,2364364,black wheels
2364376__3739233,2364376,water
2364376__2014077,2364376,brown grass
2364376__3739232,2364376,reflection in water
2364376__2461518,2364376,duck
2364401__3739113,2364401,pink teddy bear
2364401__2601924,2364401,orange box
2364401__3739109,2364401,cake
2364401__2142033,2364401,platter
2364401__2501049,2364401,small box
2364417__1822191,2364417,wall
2364417__3738976,2364417,beer
2364417__2400498_2400499,2364417,men
2364417__3738968,2364417,collar
2364429__2542169,2364429,wearing pants
2364429__2472007,2364429,catcher
2364429__1817431,2364429,batter's box
2364429__2146208,2364429,player
2364429__1858030,2364429,umpire wearing shirt
2364429__2558421,2364429,man
2364433__2455274,2364433,shadow
2364433__1960519,2364433,short grass
2364433__3738887,2364433,kite
2364433__1762030_3738897,2364433,people on grass
2364455__3738700,2364455,light above bears
2364455__3738702,2364455,wooden table
2364455__2624064_2494134,2364455,teddybear head
2364459__640877,2364459,black plate
2364459__640887,2364459,hot dogs on plate
2364459__640886,2364459,sandwich in a box
2364459__640895,2364459,toppings
2364459__640883,2364459,green pickle
2364459__640893,2364459,peppers on hot dog
2364490__1949770,2364490,tusk of elephant
2364490__2697438_3738427,2364490,ear
2364490__2631673,2364490,elephants
2364498__2687996,2364498,people
2364498__2551633,2364498,blue jeans
2364498__3888822,2364498,rain
2364498__3738337,2364498,black car driving on street
2364498__2070255,2364498,brown jacket
2364503__640681,2364503,highlighted text
2364503__640689_640689_640689,2364503,white cup
2364503__640688,2364503,highlighted paper
2364504__3738310_2088925,2364504,white clouds in sky
2364504__2169737,2364504,car
2364504__1720877,2364504,dog collar
2364510__3888802,2364510,city
2364510__1876503,2364510,wall
2364510__2134487,2364510,boats
2364510__3195549,2364510,tall clock tower
2364510__1974481,2364510,boat
2364514__1753935,2364514,baseball glove
2364514__1890785,2364514,head
2364514__3738180_3738179,2364514,leg
2364514__2632558,2364514,child
2364514__3738187,2364514,uniform
2364522__2655830,2364522,clothing hanging over bed
2364522__2114686,2364522,patterned mat
2364522__2524726,2364522,empty bed
2364522__1958301,2364522,twin mattress
2364525__640630,2364525,gray fence
2364525__640621,2364525,vertical pole
2364525__640624,2364525,ceiling
2364525__640628,2364525,subway station
2364525__640626,2364525,large window
2364525__640625,2364525,red stop
2364557__640451,2364557,building
2364557__640491,2364557,window on building
2364557__640450,2364557,green blue door on building
2364557__640467,2364557,sidewalk in front of building
2364557__640477,2364557,step near sidewalk
2364557__640488,2364557,window pane
2364584__3737511,2364584,hill covered in trees
2364584__2522336_2096674,2364584,blue sky
2364586__3737505,2364586,cut slice
2364586__3737501,2364586,person
2364586__1703987,2364586,brick floor
2364586__3737508,2364586,wine bottle
2364598__3450703,2364598,branches
2364598__3342780,2364598,liquid
2364598__1969207,2364598,black letters
2364598__3737384,2364598,word on vase
2364598__3225270,2364598,vase
2364606__1990277,2364606,sky in cloud
2364606__3737326,2364606,top tail
2364606__1868137,2364606,shadow on a plane
2364606__2571459,2364606,blue front
2364606__2292984,2364606,wing
2364607__758762,2364607,midair snowboard
2364607__758774,2364607,white logo
2364607__758775_758775,2364607,cracked ice
2364614__1897223,2364614,sitting people
2364614__2604963,2364614,large umbrellas
2364614__2201434,2364614,sitting man
2364614__1987370,2364614,chair
2364614__2198239,2364614,inside plants
2364626__1783649,2364626,legs
2364626__2071302,2364626,baseball uniform
2364626__2222232,2364626,short brown green grass
2364626__1991064,2364626,batters bat
2364631__640007,2364631,colored plane
2364631__640008,2364631,tail
2364631__640010,2364631,blue sky
2364631__640009,2364631,shadow
2364643__3225160,2364643,houses
2364643__2624027,2364643,blue sky
2364643__1913523_1913521,2364643,white cloud in sky
2364643__3888656,2364643,green-treed hillside
2364643__3888652,2364643,plane
2364653__2198813,2364653,buildings
2364653__1724738,2364653,street
2364653__2107522,2364653,person
2364653__2216213,2364653,silver street light
2364653__3888563,2364653,white sign
2364671__1910209,2364671,ducks swimming in water
2364671__2268334,2364671,ducks in water
2364671__2239674,2364671,birds swimming in water
2364673__639798,2364673,black front tire
2364673__639813,2364673,black shirt
2364673__639812,2364673,white t-shirt
2364673__639805,2364673,parked car
2364683__3058442,2364683,brown burger
2364683__3437100,2364683,fries on plate
2364683__3197335,2364683,plated food
2364683__2795853,2364683,pile fries
2364683__3197334,2364683,plate with food
2364683__2717649,2364683,table
2364685__1671972,2364685,ripples on water
2364685__1671974,2364685,bird on water
2364701__2399229,2364701,woman
2364701__3888293,2364701,woman's head
2364701__3734497,2364701,flower on hat
2364701__1890575,2364701,ground
2364701__1918169,2364701,man
2364719__1751802,2364719,motorbike
2364719__1756137,2364719,black dog
2364719__2601017,2364719,dog wearing jacket
2364719__2569878,2364719,black skirt
2364719__1758146,2364719,bike
2364719__2181939,2364719,red curb
2364724__639433,2364724,sidewalk ground
2364724__639449,2364724,parked van
2364724__639459,2364724,blue sign
2364724__639467,2364724,pole
2364724__639450,2364724,lift holds worker
2364746__2194060,2364746,white clouds
2364746__3888057,2364746,bench
2364746__2027774,2364746,white cloud
2364746__2549385,2364746,ocean
2364749__2594797,2364749,thin branches
2364749__2306410,2364749,foot
2364749__2594798,2364749,ground
2364753__2201556,2364753,prepared food
2364753__1707925,2364753,green broccoli
2364753__1799076,2364753,bottle
2364753__1952448,2364753,dish
2364766__639037,2364766,white clouds
2364766__639042,2364766,sand
2364766__639030,2364766,background
2364766__639040,2364766,boats
2364766__639039,2364766,blue sky
2364773__2656074,2364773,black wetsuit
2364773__2101284,2364773,green white waves
2364773__2654967,2364773,surfer standing on board
2364773__2460895,2364773,wet black suit
2364773__2241384,2364773,white surfboard
2364773__2138438,2364773,white surf board
2364795__3887843,2364795,woman
2364795__2602173,2364795,no leaves brown tree
2364795__3887837,2364795,staircase
2364795__2699760,2364795,orange safety vest
2364795__1848292,2364795,flight stairs
2364795__3887840,2364795,green grass
2364810__2351388,2364810,black suit
2364810__1828923,2364810,train
2364810__1995580,2364810,flags
2364810__2490283,2364810,man
2364811__638674,2364811,white inside
2364811__638675_638675_638675,2364811,head
2364811__638670,2364811,white design
2364811__638666,2364811,mouth
2364823__2169691,2364823,sky
2364823__1951785,2364823,green grass
2364823__3887615,2364823,long grass
2364823__3887618,2364823,cloud on sky
2364823__3887621,2364823,path
2364824__638544,2364824,bench in front of person
2364824__638537,2364824,bill
2364824__638531,2364824,blue shirt
2364824__638527,2364824,happy child
2364824__638534,2364824,person wearing shorts
2364824__638533,2364824,picnic table
2364849__638305,2364849,pink sign
2364849__638319,2364849,silver band around pole
2364849__638309,2364849,white hotel
2364849__638311,2364849,window
2364849__638320,2364849,silver strap around pole
2364857__1847593,2364857,building
2364857__2041498,2364857,people
2364857__1899555,2364857,taxi on a street
2364857__1694396,2364857,birds
2364857__2254088,2364857,sidewalk
2364858__758492,2364858,yellow drink
2364858__758482,2364858,hybrid straw
2364858__758491,2364858,brown table
2364858__758483,2364858,sandwich made with bread
2364858__758493,2364858,red tray
2364878__2668201,2364878,shorts
2364878__3084146,2364878,tennis player
2364878__3887356,2364878,green court
2364878__2668200,2364878,boy wearing shorts
2364878__3292251,2364878,racket
2364879__2185590,2364879,shadow on water
2364879__2421018,2364879,wing
2364879__1884523,2364879,bird
2364879__2593799,2364879,shade
2364879__1907520,2364879,peaked wings
2364883__638099,2364883,fish on tie
2364883__638123,2364883,bags on wall
2364883__638110,2364883,dishes on shelves
2364883__638115_638117,2364883,shelf
2364883__638124,2364883,grey shirt
2364901__2065895_2315187,2364901,sheep
2364901__2104822,2364901,green bushes
2364901__2213604,2364901,white wool
2364901__2168410,2364901,yellow patch flowers
2364901__1983357,2364901,grass in field
2364904__2008110,2364904,head
2364904__2008795,2364904,zebras
2364904__1700346,2364904,field
2364904__2289362,2364904,zebra
2364904__2550924,2364904,green and brown grass
2364907__1838155,2364907,woman
2364907__2233544,2364907,shirt
2364907__2135989,2364907,floor
2364907__1907669,2364907,head of woman
2364907__2225861,2364907,red canopy
2364907__2574481,2364907,green bush
2364909__1870084,2364909,ceiling
2364909__2201405,2364909,reflection
2364909__1717775,2364909,white toilet
2364909__3887197,2364909,seat
2364909__2196959,2364909,shower
2364909__2039783,2364909,mirror
2316543__2747128,2316543,white racket
2316543__3186071,2316543,white shirt
2316543__3186070,2316543,tennis player
2316543__3505872,2316543,white line on court
2316543__2800874,2316543,blue and green court
2316543__3226691,2316543,man
2364927__637708,2364927,british flag
2364927__637732,2364927,pedestrians
2364927__637719,2364927,backpack
2364927__637713,2364927,waiting traffic
2364940__637589,2364940,road between tracks
2364940__637597,2364940,station for passengers
2364940__637581,2364940,bushes along train
2364940__637585_637585,2364940,brick building
2364953__3886923,2364953,black shadow
2364953__2660030,2364953,man's jacket
2364953__1882713,2364953,fence
2364953__1764310,2364953,houses
2364953__1941338,2364953,man
2364970__2380816,2364970,dry grass
2364970__2193413,2364970,giraffe's head
2364970__2376547,2364970,dirt road
2364970__1728120,2364970,mane
2364970__1666523,2364970,cloudy sky
2364970__1748320,2364970,bushy tree
2364974__637310,2364974,baked pizza
2364974__637329,2364974,hanging utensil
2364974__637320,2364974,hand on handle
2364974__637314,2364974,blonde hair
2364974__637312_637312,2364974,wooden paddle
2364998__1873154,2364998,someone
2364998__3886624,2364998,someone's leg
2364998__1775205,2364998,wave
2364998__2489675,2364998,surf board
2365010__2325700,2365010,shoulder
2365010__1911154,2365010,boy
2365010__2379343,2365010,child
2365010__3886574,2365010,brown bag
2365010__3886570,2365010,wet ground
2365010__1788545,2365010,yellow coat
2365015__1914552_1914551,2365015,white cloud left of kite
2365015__2577654,2365015,kites
2365015__2442775,2365015,colorful kite in sky
2365027__2552463,2365027,white bus
2365027__3886514,2365027,sidewalk
2365027__1741067_3886506,2365027,blue sky
2365027__2042271,2365027,white clouds
2365027__2039541,2365027,fence on sidewalk
2365039__3886434,2365039,white stripes
2365039__2384935,2365039,leg on zebra
2365039__1850220,2365039,zebra
2365039__3886436,2365039,black stripes
2365041__2665174,2365041,clouds in sky
2365041__2253406,2365041,sun
2365041__1962052,2365041,gray airplane
2365041__2349161,2365041,white cloud in sky
2365088__2472411,2365088,decorative ornament
2365088__2043634,2365088,by couch
2365088__3886190,2365088,furniture in background
2365088__3886187_2631348,2365088,clock
2365114__3886047,2365114,hazy sky
2365114__3886048,2365114,wires
2365114__1688047,2365114,railing along water
2365114__636442,2365114,kite in sky
2365114__2444374,2365114,waves
2365114__2013433,2365114,choppy water
2365115__636438,2365115,red bed
2365115__636440,2365115,toy on television
2365115__636437,2365115,watching cat
2365149__1935962_1965058,2365149,cars
2365149__2152666,2365149,pole
2365149__2152667,2365149,red stop sign
2365149__2038642,2365149,sign
2365152__2543547,2365152,horse
2365152__3885818,2365152,tire on wagon
2365152__2334496,2365152,ocean
2365152__2011226,2365152,blue sky
2365152__2164336,2365152,beach
2365152__1869610,2365152,ground
2365154__2081597,2365154,wall
2365154__1839299,2365154,top
2365154__3713258_3713257,2365154,grey rock in wall
2365154__3476386,2365154,bench
2365161__1997428,2365161,red roses with leaves
2365161__3885744,2365161,wall
2365161__2419558,2365161,red glass
2365161__2169478,2365161,bag
2365161__3885740,2365161,flowers
2365161__2037193,2365161,ribbon
2365173__2130923,2365173,skiis
2365173__2291303,2365173,posts
2365173__1760085,2365173,snow
2365173__2587720,2365173,red post
2365173__2436025,2365173,shadow
2365178__2115324,2365178,tile wall
2365178__2042781,2365178,blue cap
2365178__1997394,2365178,white apron
2365178__2148879,2365178,man head
2365178__2368543,2365178,window
2365178__2227738,2365178,bread
2365179__636064,2365179,body
2365179__636071,2365179,cute face
2365179__636063,2365179,wobbly back leg
2365179__636065,2365179,white head
2365179__636057,2365179,sheep standing up
2365179__636059,2365179,shadow
2365186__2396128,2365186,bushes
2365186__2666914,2365186,sticking horse
2365186__2448607,2365186,white stripe
2365186__2620913,2365186,brown mane
2365188__1875500,2365188,ceiling
2365188__2495184,2365188,floor
2365188__2616546,2365188,tunnel
2365188__1712278,2365188,platform
2365188__1777455,2365188,windows on train
2365188__2003841,2365188,pants
2365194__757662,2365194,driving truck
2365194__757677,2365194,tires are on truck
2365194__757679,2365194,steel beams
2365194__757670,2365194,air
2365195__3885559,2365195,large puddle
2365195__757660,2365195,large hill
2365195__757654,2365195,water
2365195__757659,2365195,mouth
2365195__3885550,2365195,ground
2365196__2524330,2365196,gravel on hill
2365196__2515734,2365196,pole
2365196__1908821,2365196,pine tall trees
2365196__1805458,2365196,background
2365196__2353474,2365196,signs
2365196__3885535,2365196,print
2365236__1759646,2365236,jet's engine
2365236__3885265,2365236,trees with green leaves
2365236__1759645,2365236,wing
2365236__2314729_1665879,2365236,plane
2365236__1665877,2365236,orange letters
2365243__635652,2365243,blue water
2365243__635655,2365243,car parked along road
2365243__635646,2365243,green bus
2365243__635649,2365243,metal post
2365247__3885207,2365247,blue bench
2365247__757505,2365247,it
2365247__3885226,2365247,woman wearing pants
2365247__3885224,2365247,laces
2365247__3885209,2365247,metal bench
2365261__1756582,2365261,box
2365261__1783156,2365261,black and red letters
2365261__1967525,2365261,airplane
2365261__1887630,2365261,grassy field
2365261__2819874,2365261,red plane
2365264__1950173,2365264,portable stove
2365264__2291805,2365264,square window
2365264__1788176,2365264,red rack holding pots
2365264__2182906,2365264,mirror
2365264__2378321,2365264,silver faucet
2365264__2452923,2365264,stove top
2365270__635475,2365270,red front
2365270__635473,2365270,windshield on bus
2365270__635462,2365270,parked bus
2365270__635461,2365270,shut door
2365270__635466,2365270,gravel
2365270__635490,2365270,ground
2365285__2646521,2365285,wave breaking into ocean
2365285__2410818,2365285,footprints
2365285__3885021,2365285,small waves
2365285__3885026,2365285,sand
2365285__2086653,2365285,black
2365285__1929215,2365285,ground
2365292__1704808,2365292,white foam
2365292__2521858,2365292,wet black suit on man
2365292__1980763_2405692,2365292,wave
2365292__2521859,2365292,man
2365292__2171871,2365292,surfer
2365300__1810039,2365300,chain link gate
2365300__2571034,2365300,pole
2365300__2179126,2365300,woman
2365300__2474700_2474701,2365300,tall skyscraper
2365306__1897009_1897010,2365306,wall
2365306__3884894,2365306,tank
2365306__2057156,2365306,stuck sticker
2365306__2327063,2365306,hinge
2365306__2603374,2365306,tan tiles
2365309__757340_757339,2365309,front leg of elephant
2365309__757328,2365309,foot of elephant
2365309__757333,2365309,bare ground
2365309__757326,2365309,eating elephant
2365309__757325,2365309,curled trunk
2365360__2675431,2365360,clouds
2365360__3355704,2365360,blue water
2365360__2420015,2365360,crane
2365365__2418090,2365365,black pants
2365365__2512617,2365365,white girl
2365365__2411070,2365365,jacket
2365365__2427801,2365365,person
2365365__1735499,2365365,grey helmet
2365383__757145,2365383,tank against wall
2365383__757155,2365383,light shining on tank
2365383__757137,2365383,white toilet
2365383__757139,2365383,telephone mounted to wall
2365383__757149,2365383,lid on tank
2365384__1755695,2365384,brown crust
2365384__2553097,2365384,wall
2365384__1942249,2365384,light on ground
2365384__2218246,2365384,concrete
2365384__1702301,2365384,hand
2365385__3884554,2365385,engine
2365385__2308263,2365385,cloud in sky
2365385__1891033,2365385,red lettering
2365385__3884550,2365385,circle shaped logo
2365385__2308262,2365385,clear sky
2365402__2318549,2365402,motorbike
2365402__2186412,2365402,smiling lady
2365402__1958397,2365402,watch
2365402__2683221,2365402,seat
2365402__2062101,2365402,steel silverware
2365402__1909922,2365402,arm
2365403__1675960,2365403,mountain
2365403__2127529,2365403,mountains
2365403__2623695,2365403,windows
2365403__2364760,2365403,sky
2365403__2429309,2365403,pole
2365403__2127530,2365403,background
2365431__634203,2365431,picture has writing
2365431__634192,2365431,writing
2365431__634193,2365431,long bridge
2365431__634188,2365431,top sign
2365431__634201,2365431,sidewalk
2365431__634202,2365431,on street lights
2365434__634164,2365434,dessert on plate
2365434__634173,2365434,fingers
2365434__634134,2365434,flowered blouse
2365434__634144,2365434,pastry on dish
2365434__634149,2365434,table
2365434__634155,2365434,saucer
2365436__2020813,2365436,dark green leaves
2365436__2672492,2365436,pear
2365436__3228431,2365436,field
2365436__2030235,2365436,bush
2365436__1999039,2365436,wearing jeans
2365436__2629458,2365436,long sleeved woman
2365452__1876555,2365452,black shirt
2365452__3212969,2365452,brown surface
2365452__3459119,2365452,green chair
2365452__2922548,2365452,white short
2365452__1716953,2365452,seated people
2365452__3268460,2365452,yellow tennis racket
2365462__2594600,2365462,short sleeved shirt
2365462__1989786,2365462,shoes
2365462__2009130,2365462,black jeans
2365462__2623481,2365462,blue shoe
2365462__2649211,2365462,extended arm
2365462__2025670,2365462,paved area
2365466__2420463,2365466,fence
2365466__2480146,2365466,tree
2365466__2130056,2365466,blue building
2365466__1744553,2365466,spotted belly
2365466__2339588,2365466,four giraffe
2365473__756803,2365473,skiing skier
2365473__756819,2365473,blue outfit
2365473__756813,2365473,leg
2365473__756809,2365473,ski pole
2365473__756804,2365473,red pole
2365473__756816,2365473,partial ski
2365476__3884106,2365476,green shrubs
2365476__1937964,2365476,pole
2365476__2166941,2365476,tall tower
2365476__2534316,2365476,cow
2365476__3884098_2469308,2365476,church
2365496__2454497,2365496,high platform
2365496__1752333,2365496,people
2365496__2063838,2365496,grass
2365496__1784538,2365496,man
2365499__756766,2365499,black back
2365499__756771,2365499,black leg
2365499__756763_756763,2365499,black ear
2365499__756773,2365499,shadow of bear
2365499__756770,2365499,black head
2365506__1919992,2365506,head
2365506__3883923,2365506,square
2365506__2093496,2365506,back
2365506__1760802,2365506,bed
2365506__1843184,2365506,black cord
2365506__3223735,2365506,man
2365508__633668,2365508,hanging light
2365508__633681,2365508,green walls
2365508__633671,2365508,cow has tail
2365508__633660,2365508,cow has rope
2365508__633679,2365508,dirt in barn
2365510__633648,2365510,tracks
2365510__633651,2365510,present bridge
2365510__633647,2365510,metal train
2365510__633655,2365510,sky above train
2365520__1765655,2365520,wall
2365520__2629485,2365520,motorcycle
2365520__1968743,2365520,rear wheel
2365530__633486,2365530,land
2365530__633498,2365530,white letters
2365530__633500,2365530,white side
2365530__633516,2365530,sign
2365530__633485,2365530,clouds above land
2365532__2236391,2365532,people
2365532__1672875,2365532,yellow lines
2365532__2236392,2365532,side
2365532__2796716,2365532,nose
2365532__2985575,2365532,wheels
2365532__3046860,2365532,shadow
2365562__633276,2365562,black pants
2365562__633273,2365562,black shirt
2365562__633284,2365562,bald head
2365562__633261,2365562,standing man
2365562__633282,2365562,white table cloth
2365562__633280,2365562,picture hanging on wall
2365584__3505292,2365584,tin wall
2365584__3656834,2365584,bananas hanging from stem
2365584__1914864,2365584,yellow bananas
2365586__633117_633117,2365586,bookshelf
2365586__633110,2365586,opened laptop
2365586__633113,2365586,tall glass
2365586__633114,2365586,on tv
2365590__1760136,2365590,screen
2365590__2414876_2360452,2365590,person
2365590__2315931,2365590,laptop
2365590__2335976,2365590,window
2365590__1980302,2365590,man
2365595__633012_633011,2365595,container holds hay
2365595__633015,2365595,metal fence
2365595__633010,2365595,ledge
2365595__633009,2365595,blue container
2365615__632926,2365615,gray horse
2365615__632932,2365615,standing horse
2365615__632938,2365615,black shirt
2365615__632929,2365615,blue jeans
2365615__632930,2365615,green brush
2365615__632934,2365615,shining sun
2365625__2690649,2365625,bushes
2365625__3883275,2365625,foreground
2365625__1725531,2365625,head
2365625__1754026,2365625,zebras
2365625__2426577,2365625,floor
2365644__2482820,2365644,skis
2365644__1917438,2365644,white columns
2365644__2584043,2365644,wooden door
2365644__2049222_1728781,2365644,man
2365649__3883158,2365649,chocolate sauce
2365649__2373864,2365649,orange plate
2365649__3883166,2365649,chocolate cake
2365649__2122273,2365649,ice cream
2365649__2630033,2365649,knife
2365664__632745_632745,2365664,open cockpit
2365664__632746,2365664,orange cone
2365664__632757_632757,2365664,blue sign
2365664__632742,2365664,grey shirt
2365687__2984987,2365687,track
2365687__2070635,2365687,tree next to tracks
2365687__2998308_2998307,2365687,roof on train
2365687__2230030,2365687,train
2365687__2070636,2365687,leaves on tree
2365692__1661286,2365692,train tracks
2365692__2269783,2365692,containers
2365693__632578,2365693,yellow train
2365693__632582,2365693,parked cars
2365693__632585,2365693,red sign
2365693__632589,2365693,cars on train
2365693__632580,2365693,clustered trees
2365693__632574,2365693,ground
2365697__632567,2365697,large clouds
2365697__632568,2365697,blue sky
2365697__632565,2365697,white snow
2365697__632562,2365697,flying man
2365714__2599246,2365714,zebras
2365714__1666981,2365714,zebra
2365714__2084089,2365714,shadow of tree
2365727__756180,2365727,snow
2365727__756177,2365727,red stop sign
2365727__756179,2365727,silver pole
2365727__756186,2365727,sidewalk
2365727__756185,2365727,small tree
2365735__3882704,2365735,meat
2365735__2184182,2365735,green broccoli
